product_id,product_name,category,subcategory,brand,base_price,unit_cost,launch_date,reorder_priority
22,DailyBite Snacks Item 22,Grocery,Snacks,DailyBite,11.08,7.76,2021-09-23,Low
23,Natura Snacks Item 23,Grocery,Snacks,Natura,8.64,6.2,2021-09-12,Medium
24,UrbanFarm Snacks Item 24,Grocery,Snacks,UrbanFarm,9.61,5.49,2022-12-15,Medium
25,DailyBite Snacks Item 25,Grocery,Snacks,DailyBite,9.4,5.43,2024-10-14,Medium
26,UrbanFarm Snacks Item 26,Grocery,Snacks,UrbanFarm,4.67,2.91,2024-01-12,Medium
27,DailyBite Snacks Item 27,Grocery,Snacks,DailyBite,7.08,5.5,2024-08-09,Low
28,Natura Snacks Item 28,Grocery,Snacks,Natura,7.47,4.62,2024-01-13,Low
29,UrbanFarm Snacks Item 29,Grocery,Snacks,UrbanFarm,11.97,9.33,2024-07-19,Low
30,FreshCo Snacks Item 30,Grocery,Snacks,FreshCo,2.57,1.44,2024-12-15,High
31,FreshCo Snacks Item 31,Grocery,Snacks,FreshCo,1.63,1.21,2023-03-21,Medium
32,Natura Snacks Item 32,Grocery,Snacks,Natura,10.36,7.39,2021-01-07,High
33,FreshCo Snacks Item 33,Grocery,Snacks,FreshCo,8.81,5.77,2022-01-08,Medium
34,UrbanFarm Snacks Item 34,Grocery,Snacks,UrbanFarm,7.36,4.91,2024-11-22,Medium
35,DailyBite Snacks Item 35,Grocery,Snacks,DailyBite,5.71,3.42,2022-12-17,Low
36,DailyBite Snacks Item 36,Grocery,Snacks,DailyBite,7.3,4.54,2023-03-01,Medium
37,DailyBite Snacks Item 37,Grocery,Snacks,DailyBite,9.1,6.68,2021-03-25,High
38,FreshCo Snacks Item 38,Grocery,Snacks,FreshCo,1.61,1.16,2023-11-30,Medium
39,FreshCo Snacks Item 39,Grocery,Snacks,FreshCo,2.32,1.44,2022-05-16,Low
40,FreshCo Snacks Item 40,Grocery,Snacks,FreshCo,6.78,4.59,2024-06-18,Low
41,DailyBite Snacks Item 41,Grocery,Snacks,DailyBite,9.31,7.06,2025-02-02,Medium
42,Natura Snacks Item 42,Grocery,Snacks,Natura,1.93,1.36,2024-08-14,High
43,DailyBite Snacks Item 43,Grocery,Snacks,DailyBite,6.31,4.32,2023-02-15,Medium
44,FreshCo Snacks Item 44,Grocery,Snacks,FreshCo,11.09,6.16,2023-04-30,Medium
45,FreshCo Snacks Item 45,Grocery,Snacks,FreshCo,8.73,6.33,2022-11-23,Low
46,UrbanFarm Beverages Item 46,Grocery,Beverages,UrbanFarm,9.06,7.03,2021-01-08,Low
47,FreshCo Beverages Item 47,Grocery,Beverages,FreshCo,9.55,6.16,2022-02-04,High
48,UrbanFarm Beverages Item 48,Grocery,Beverages,UrbanFarm,1.41,1.0,2022-07-27,Low
49,FreshCo Beverages Item 49,Grocery,Beverages,FreshCo,7.84,4.37,2022-09-15,Medium
50,UrbanFarm Beverages Item 50,Grocery,Beverages,UrbanFarm,10.39,7.83,2022-09-30,High
51,UrbanFarm Beverages Item 51,Grocery,Beverages,UrbanFarm,4.26,3.03,2022-06-01,Medium
52,FreshCo Beverages Item 52,Grocery,Beverages,FreshCo,1.74,1.09,2025-01-10,High
53,DailyBite Beverages Item 53,Grocery,Beverages,DailyBite,3.59,2.46,2021-09-24,High
54,FreshCo Beverages Item 54,Grocery,Beverages,FreshCo,4.12,2.71,2022-02-05,Low
55,UrbanFarm Beverages Item 55,Grocery,Beverages,UrbanFarm,7.18,4.67,2021-03-18,Low
56,FreshCo Beverages Item 56,Grocery,Beverages,FreshCo,6.01,3.83,2023-01-06,Medium
57,DailyBite Beverages Item 57,Grocery,Beverages,DailyBite,1.02,0.67,2023-03-06,Medium
58,DailyBite Beverages Item 58,Grocery,Beverages,DailyBite,3.67,2.8,2023-06-25,Low
59,FreshCo Beverages Item 59,Grocery,Beverages,FreshCo,11.11,7.69,2023-01-11,High
60,FreshCo Beverages Item 60,Grocery,Beverages,FreshCo,7.81,5.95,2024-01-07,Medium
61,UrbanFarm Beverages Item 61,Grocery,Beverages,UrbanFarm,9.79,5.56,2023-09-16,Medium
62,Natura Beverages Item 62,Grocery,Beverages,Natura,9.12,5.32,2022-02-02,Low
63,FreshCo Beverages Item 63,Grocery,Beverages,FreshCo,11.92,8.03,2021-07-18,Medium
64,DailyBite Beverages Item 64,Grocery,Beverages,DailyBite,10.2,6.2,2023-03-10,Medium
65,Natura Beverages Item 65,Grocery,Beverages,Natura,9.34,6.85,2023-09-14,Medium
66,DailyBite Beverages Item 66,Grocery,Beverages,DailyBite,2.64,2.01,2023-08-27,Medium
67,DailyBite Beverages Item 67,Grocery,Beverages,DailyBite,9.16,6.94,2022-10-09,Low
68,Natura Beverages Item 68,Grocery,Beverages,Natura,11.77,7.34,2023-05-14,Medium
69,UrbanFarm Beverages Item 69,Grocery,Beverages,UrbanFarm,3.16,2.24,2022-12-11,High
70,UrbanFarm Beverages Item 70,Grocery,Beverages,UrbanFarm,4.06,2.47,2023-10-08,Low
71,DailyBite Beverages Item 71,Grocery,Beverages,DailyBite,3.78,2.93,2024-11-12,Medium
72,DailyBite Beverages Item 72,Grocery,Beverages,DailyBite,2.07,1.26,2024-01-15,Medium
73,DailyBite Beverages Item 73,Grocery,Beverages,DailyBite,5.45,3.15,2023-07-16,Medium
74,FreshCo Beverages Item 74,Grocery,Beverages,FreshCo,5.95,3.74,2021-02-24,High
75,UrbanFarm Beverages Item 75,Grocery,Beverages,UrbanFarm,9.55,6.21,2024-06-05,Low
76,UrbanFarm Beverages Item 76,Grocery,Beverages,UrbanFarm,7.1,5.4,2023-03-04,Low
77,Natura Beverages Item 77,Grocery,Beverages,Natura,11.87,9.05,2023-09-14,Medium
78,Natura Beverages Item 78,Grocery,Beverages,Natura,9.73,5.36,2024-04-11,Low
79,FreshCo Beverages Item 79,Grocery,Beverages,FreshCo,7.96,5.22,2023-02-28,Low
80,DailyBite Beverages Item 80,Grocery,Beverages,DailyBite,8.46,6.11,2022-06-26,Medium
81,UrbanFarm Beverages Item 81,Grocery,Beverages,UrbanFarm,9.12,6.92,2022-11-28,Low
82,DailyBite Beverages Item 82,Grocery,Beverages,DailyBite,2.01,1.26,2024-10-01,Low
83,Natura Beverages Item 83,Grocery,Beverages,Natura,4.03,2.4,2024-01-24,Medium
84,DailyBite Beverages Item 84,Grocery,Beverages,DailyBite,4.53,2.91,2024-06-24,Medium
85,UrbanFarm Beverages Item 85,Grocery,Beverages,UrbanFarm,6.99,5.31,2025-02-04,Medium
86,UrbanFarm Beverages Item 86,Grocery,Beverages,UrbanFarm,6.29,3.83,2022-03-13,Low
87,UrbanFarm Beverages Item 87,Grocery,Beverages,UrbanFarm,1.08,0.79,2024-11-19,Medium
88,FreshCo Beverages Item 88,Grocery,Beverages,FreshCo,7.82,5.72,2023-12-03,Low
89,UrbanFarm Beverages Item 89,Grocery,Beverages,UrbanFarm,5.66,4.4,2021-06-27,Medium
90,UrbanFarm Beverages Item 90,Grocery,Beverages,UrbanFarm,6.07,4.44,2021-12-19,High
91,Natura Dairy Item 91,Grocery,Dairy,Natura,6.4,3.75,2021-05-11,Medium
92,DailyBite Dairy Item 92,Grocery,Dairy,DailyBite,1.38,1.03,2022-09-28,Medium
93,DailyBite Dairy Item 93,Grocery,Dairy,DailyBite,3.83,2.43,2024-02-14,Low
94,FreshCo Dairy Item 94,Grocery,Dairy,FreshCo,2.93,2.05,2024-12-04,Low
95,UrbanFarm Dairy Item 95,Grocery,Dairy,UrbanFarm,3.43,2.32,2024-10-28,Medium
96,Natura Dairy Item 96,Grocery,Dairy,Natura,3.86,2.47,2023-08-18,Low
97,Natura Dairy Item 97,Grocery,Dairy,Natura,1.01,0.76,2022-05-26,Medium
98,FreshCo Dairy Item 98,Grocery,Dairy,FreshCo,3.15,2.04,2022-05-31,Low
99,DailyBite Dairy Item 99,Grocery,Dairy,DailyBite,4.93,3.77,2022-09-03,High
100,FreshCo Dairy Item 100,Grocery,Dairy,FreshCo,9.3,5.97,2024-10-19,High
101,FreshCo Dairy Item 101,Grocery,Dairy,FreshCo,6.49,4.44,2024-04-12,Medium
102,UrbanFarm Dairy Item 102,Grocery,Dairy,UrbanFarm,4.95,3.78,2022-07-30,Medium
103,DailyBite Dairy Item 103,Grocery,Dairy,DailyBite,7.1,4.18,2024-02-12,Medium
104,UrbanFarm Dairy Item 104,Grocery,Dairy,UrbanFarm,10.09,7.75,2023-07-14,Medium
105,FreshCo Dairy Item 105,Grocery,Dairy,FreshCo,7.19,4.72,2025-01-22,Medium
106,DailyBite Dairy Item 106,Grocery,Dairy,DailyBite,3.97,3.07,2024-12-14,Medium
107,UrbanFarm Dairy Item 107,Grocery,Dairy,UrbanFarm,2.11,1.46,2024-08-14,High
108,UrbanFarm Dairy Item 108,Grocery,Dairy,UrbanFarm,4.13,2.71,2024-03-31,Low
109,Natura Dairy Item 109,Grocery,Dairy,Natura,6.08,3.82,2022-09-15,Low
110,UrbanFarm Dairy Item 110,Grocery,Dairy,UrbanFarm,8.17,4.56,2021-11-02,Medium
111,Natura Dairy Item 111,Grocery,Dairy,Natura,10.93,6.16,2024-07-30,Medium
112,Natura Dairy Item 112,Grocery,Dairy,Natura,5.9,3.63,2023-03-23,High
113,UrbanFarm Dairy Item 113,Grocery,Dairy,UrbanFarm,10.26,6.93,2022-11-16,Medium
114,DailyBite Dairy Item 114,Grocery,Dairy,DailyBite,4.98,3.25,2024-07-14,High
115,FreshCo Dairy Item 115,Grocery,Dairy,FreshCo,3.41,1.91,2022-07-01,Medium
116,UrbanFarm Dairy Item 116,Grocery,Dairy,UrbanFarm,7.89,6.06,2023-07-21,Medium
117,UrbanFarm Dairy Item 117,Grocery,Dairy,UrbanFarm,9.48,6.68,2023-12-09,Low
118,UrbanFarm Dairy Item 118,Grocery,Dairy,UrbanFarm,2.18,1.7,2024-01-06,Low
119,Natura Dairy Item 119,Grocery,Dairy,Natura,8.01,5.28,2024-09-17,Medium
120,DailyBite Dairy Item 120,Grocery,Dairy,DailyBite,10.42,8.03,2021-03-10,Medium
121,Natura Dairy Item 121,Grocery,Dairy,Natura,3.37,2.43,2024-04-18,Low
122,FreshCo Dairy Item 122,Grocery,Dairy,FreshCo,4.2,2.48,2022-01-08,Low
123,DailyBite Dairy Item 123,Grocery,Dairy,DailyBite,7.05,5.09,2022-05-25,Low
124,DailyBite Dairy Item 124,Grocery,Dairy,DailyBite,6.14,3.76,2024-09-13,Medium
125,FreshCo Dairy Item 125,Grocery,Dairy,FreshCo,11.23,7.76,2024-02-15,Low
126,FreshCo Dairy Item 126,Grocery,Dairy,FreshCo,6.25,4.64,2024-03-01,High
127,UrbanFarm Dairy Item 127,Grocery,Dairy,UrbanFarm,10.79,8.26,2021-12-02,Low
128,FreshCo Dairy Item 128,Grocery,Dairy,FreshCo,11.44,6.75,2022-03-26,High
129,Natura Dairy Item 129,Grocery,Dairy,Natura,3.59,2.33,2024-01-12,Low
130,UrbanFarm Dairy Item 130,Grocery,Dairy,UrbanFarm,1.05,0.7,2021-08-23,Low
131,DailyBite Dairy Item 131,Grocery,Dairy,DailyBite,3.15,2.23,2021-04-18,Medium
132,FreshCo Dairy Item 132,Grocery,Dairy,FreshCo,9.3,6.11,2023-08-13,Medium
133,DailyBite Dairy Item 133,Grocery,Dairy,DailyBite,3.8,2.83,2022-10-13,Low
134,UrbanFarm Dairy Item 134,Grocery,Dairy,UrbanFarm,11.09,8.31,2021-07-02,High
135,UrbanFarm Dairy Item 135,Grocery,Dairy,UrbanFarm,9.01,6.66,2022-04-09,Medium
136,Natura Bakery Item 136,Grocery,Bakery,Natura,7.41,5.33,2022-11-12,Medium
137,UrbanFarm Bakery Item 137,Grocery,Bakery,UrbanFarm,11.1,8.62,2023-02-14,Medium
138,UrbanFarm Bakery Item 138,Grocery,Bakery,UrbanFarm,11.78,8.12,2024-10-08,Medium
139,Natura Bakery Item 139,Grocery,Bakery,Natura,6.45,4.14,2023-02-27,Medium
140,UrbanFarm Bakery Item 140,Grocery,Bakery,UrbanFarm,10.74,6.48,2022-07-12,Medium
141,Natura Bakery Item 141,Grocery,Bakery,Natura,6.24,4.6,2021-09-12,High
142,UrbanFarm Bakery Item 142,Grocery,Bakery,UrbanFarm,4.65,2.64,2024-01-08,Medium
143,Natura Bakery Item 143,Grocery,Bakery,Natura,7.94,5.18,2024-03-18,Low
144,DailyBite Bakery Item 144,Grocery,Bakery,DailyBite,3.71,2.11,2023-09-03,Medium
145,UrbanFarm Bakery Item 145,Grocery,Bakery,UrbanFarm,7.26,5.03,2023-07-04,Medium
146,FreshCo Bakery Item 146,Grocery,Bakery,FreshCo,5.5,3.32,2023-03-22,Medium
147,DailyBite Bakery Item 147,Grocery,Bakery,DailyBite,11.21,6.35,2023-04-17,High
148,DailyBite Bakery Item 148,Grocery,Bakery,DailyBite,5.96,3.87,2025-01-03,High
149,FreshCo Bakery Item 149,Grocery,Bakery,FreshCo,2.84,2.06,2023-01-09,High
150,UrbanFarm Bakery Item 150,Grocery,Bakery,UrbanFarm,3.46,2.7,2022-08-26,Low
151,UrbanFarm Bakery Item 151,Grocery,Bakery,UrbanFarm,6.81,5.29,2023-08-14,Medium
152,Natura Bakery Item 152,Grocery,Bakery,Natura,6.56,4.11,2021-03-26,Medium
153,FreshCo Bakery Item 153,Grocery,Bakery,FreshCo,7.09,4.35,2021-02-03,Low
154,UrbanFarm Bakery Item 154,Grocery,Bakery,UrbanFarm,7.67,5.8,2023-10-20,Low
155,FreshCo Bakery Item 155,Grocery,Bakery,FreshCo,8.26,5.11,2021-06-07,Medium
156,DailyBite Bakery Item 156,Grocery,Bakery,DailyBite,1.2,0.89,2023-11-09,Low
157,FreshCo Bakery Item 157,Grocery,Bakery,FreshCo,3.46,2.64,2023-02-17,Low
158,UrbanFarm Bakery Item 158,Grocery,Bakery,UrbanFarm,9.39,5.34,2023-08-16,Low
159,Natura Bakery Item 159,Grocery,Bakery,Natura,9.14,6.1,2024-12-25,Low
160,FreshCo Bakery Item 160,Grocery,Bakery,FreshCo,6.1,3.89,2021-07-06,Medium
161,DailyBite Bakery Item 161,Grocery,Bakery,DailyBite,11.86,6.72,2021-02-08,Medium
162,UrbanFarm Bakery Item 162,Grocery,Bakery,UrbanFarm,10.27,7.74,2021-07-19,Medium
163,FreshCo Bakery Item 163,Grocery,Bakery,FreshCo,2.54,1.41,2022-09-12,Low
164,FreshCo Bakery Item 164,Grocery,Bakery,FreshCo,6.02,4.13,2024-01-13,Medium
165,FreshCo Bakery Item 165,Grocery,Bakery,FreshCo,11.37,8.31,2022-07-04,Medium
166,DailyBite Bakery Item 166,Grocery,Bakery,DailyBite,2.61,1.94,2021-01-28,Low
167,FreshCo Bakery Item 167,Grocery,Bakery,FreshCo,11.4,8.71,2023-12-26,Medium
168,UrbanFarm Bakery Item 168,Grocery,Bakery,UrbanFarm,4.07,2.42,2023-12-08,Low
169,Natura Bakery Item 169,Grocery,Bakery,Natura,8.42,5.54,2021-03-04,Medium
170,UrbanFarm Bakery Item 170,Grocery,Bakery,UrbanFarm,1.43,0.83,2022-09-16,High
171,Natura Bakery Item 171,Grocery,Bakery,Natura,4.76,3.29,2024-11-18,Low
172,FreshCo Bakery Item 172,Grocery,Bakery,FreshCo,4.01,2.56,2021-12-05,Medium
173,FreshCo Bakery Item 173,Grocery,Bakery,FreshCo,11.9,8.66,2021-07-02,High
174,UrbanFarm Bakery Item 174,Grocery,Bakery,UrbanFarm,4.39,2.51,2024-04-19,High
175,Natura Bakery Item 175,Grocery,Bakery,Natura,2.08,1.27,2024-07-15,Medium
176,UrbanFarm Bakery Item 176,Grocery,Bakery,UrbanFarm,4.61,2.69,2024-12-18,High
177,DailyBite Bakery Item 177,Grocery,Bakery,DailyBite,9.63,5.67,2024-11-11,Medium
178,FreshCo Bakery Item 178,Grocery,Bakery,FreshCo,8.93,5.96,2022-01-27,Low
179,UrbanFarm Bakery Item 179,Grocery,Bakery,UrbanFarm,4.56,2.61,2024-03-02,Low
180,UrbanFarm Bakery Item 180,Grocery,Bakery,UrbanFarm,2.25,1.47,2022-12-18,Low
181,Natura Frozen Item 181,Grocery,Frozen,Natura,1.43,1.1,2024-11-09,Medium
182,DailyBite Frozen Item 182,Grocery,Frozen,DailyBite,4.27,2.54,2023-11-06,Medium
183,Natura Frozen Item 183,Grocery,Frozen,Natura,5.17,3.79,2024-04-15,Low
184,DailyBite Frozen Item 184,Grocery,Frozen,DailyBite,7.18,5.39,2023-02-27,Low
185,UrbanFarm Frozen Item 185,Grocery,Frozen,UrbanFarm,7.12,4.22,2023-01-13,Medium
186,UrbanFarm Frozen Item 186,Grocery,Frozen,UrbanFarm,3.2,1.99,2024-09-10,Medium
187,FreshCo Frozen Item 187,Grocery,Frozen,FreshCo,11.44,7.14,2023-07-16,Low
188,UrbanFarm Frozen Item 188,Grocery,Frozen,UrbanFarm,5.23,3.8,2021-02-09,Low
189,DailyBite Frozen Item 189,Grocery,Frozen,DailyBite,3.89,2.59,2024-01-10,Medium
190,DailyBite Frozen Item 190,Grocery,Frozen,DailyBite,10.55,5.97,2025-01-25,High
191,UrbanFarm Frozen Item 191,Grocery,Frozen,UrbanFarm,1.98,1.34,2024-08-26,Low
192,UrbanFarm Frozen Item 192,Grocery,Frozen,UrbanFarm,10.14,7.17,2022-02-02,Medium
193,DailyBite Frozen Item 193,Grocery,Frozen,DailyBite,4.36,3.0,2022-10-18,Low
194,FreshCo Frozen Item 194,Grocery,Frozen,FreshCo,1.52,0.86,2022-04-05,High
195,Natura Frozen Item 195,Grocery,Frozen,Natura,3.83,2.81,2023-03-02,Medium
196,Natura Frozen Item 196,Grocery,Frozen,Natura,4.63,3.12,2021-07-25,High
197,FreshCo Frozen Item 197,Grocery,Frozen,FreshCo,2.36,1.69,2021-03-30,Medium
198,UrbanFarm Frozen Item 198,Grocery,Frozen,UrbanFarm,7.45,5.23,2021-01-10,Medium
199,FreshCo Frozen Item 199,Grocery,Frozen,FreshCo,6.3,4.31,2024-04-12,Medium
200,Natura Frozen Item 200,Grocery,Frozen,Natura,7.67,5.42,2024-09-11,Medium
201,UrbanFarm Frozen Item 201,Grocery,Frozen,UrbanFarm,7.5,5.02,2021-08-29,High
202,DailyBite Frozen Item 202,Grocery,Frozen,DailyBite,6.56,4.18,2024-09-13,Medium
203,UrbanFarm Frozen Item 203,Grocery,Frozen,UrbanFarm,1.56,0.93,2024-03-04,High
204,UrbanFarm Frozen Item 204,Grocery,Frozen,UrbanFarm,4.05,2.83,2023-11-20,High
205,FreshCo Frozen Item 205,Grocery,Frozen,FreshCo,2.6,1.77,2024-12-15,High
206,UrbanFarm Frozen Item 206,Grocery,Frozen,UrbanFarm,10.12,5.6,2022-05-10,Medium
207,FreshCo Frozen Item 207,Grocery,Frozen,FreshCo,6.58,4.19,2023-04-06,Medium
208,Natura Frozen Item 208,Grocery,Frozen,Natura,8.08,4.93,2021-06-23,Medium
209,Natura Frozen Item 209,Grocery,Frozen,Natura,7.64,5.95,2022-07-10,Medium
210,Natura Frozen Item 210,Grocery,Frozen,Natura,8.66,6.43,2024-07-24,Low
211,DailyBite Frozen Item 211,Grocery,Frozen,DailyBite,5.96,3.45,2024-11-06,High
212,UrbanFarm Frozen Item 212,Grocery,Frozen,UrbanFarm,5.52,3.22,2022-03-30,High
213,UrbanFarm Frozen Item 213,Grocery,Frozen,UrbanFarm,6.42,4.8,2022-06-11,High
214,FreshCo Frozen Item 214,Grocery,Frozen,FreshCo,7.28,4.41,2023-11-15,Medium
215,Natura Frozen Item 215,Grocery,Frozen,Natura,6.11,4.43,2022-05-25,Medium
216,Natura Frozen Item 216,Grocery,Frozen,Natura,8.31,5.99,2023-03-18,Low
217,FreshCo Frozen Item 217,Grocery,Frozen,FreshCo,10.25,7.54,2022-03-29,Medium
218,Natura Frozen Item 218,Grocery,Frozen,Natura,5.39,3.97,2022-02-14,Medium
219,FreshCo Frozen Item 219,Grocery,Frozen,FreshCo,4.14,2.76,2023-01-15,Low
220,UrbanFarm Frozen Item 220,Grocery,Frozen,UrbanFarm,10.02,6.74,2023-02-01,Low
221,UrbanFarm Frozen Item 221,Grocery,Frozen,UrbanFarm,2.87,1.67,2022-08-30,Medium
222,FreshCo Frozen Item 222,Grocery,Frozen,FreshCo,6.64,4.78,2024-09-10,Medium
223,FreshCo Frozen Item 223,Grocery,Frozen,FreshCo,7.11,4.77,2023-03-12,Medium
224,FreshCo Frozen Item 224,Grocery,Frozen,FreshCo,4.97,2.77,2023-05-01,Medium
225,UrbanFarm Frozen Item 225,Grocery,Frozen,UrbanFarm,10.57,8.05,2023-01-29,Medium
226,CleanNest Cleaning Item 226,Household,Cleaning,CleanNest,39.68,26.23,2021-06-02,Low
227,CleanNest Cleaning Item 227,Household,Cleaning,CleanNest,7.72,4.98,2023-03-20,Low
228,PureFlow Cleaning Item 228,Household,Cleaning,PureFlow,39.58,25.46,2023-07-03,Medium
229,Spark Cleaning Item 229,Household,Cleaning,Spark,12.81,6.29,2022-10-29,Medium
230,Spark Cleaning Item 230,Household,Cleaning,Spark,25.48,12.56,2021-03-27,Low
231,CleanNest Cleaning Item 231,Household,Cleaning,CleanNest,30.51,19.65,2023-02-24,Low
232,CleanNest Cleaning Item 232,Household,Cleaning,CleanNest,19.59,10.5,2023-07-24,Medium
233,CleanNest Cleaning Item 233,Household,Cleaning,CleanNest,15.55,10.25,2021-11-19,Low
234,CleanNest Cleaning Item 234,Household,Cleaning,CleanNest,8.46,5.32,2024-10-15,Low
235,Spark Cleaning Item 235,Household,Cleaning,Spark,18.45,11.29,2022-09-07,High
236,Spark Cleaning Item 236,Household,Cleaning,Spark,8.57,6.14,2024-07-26,Medium
237,HomeCore Cleaning Item 237,Household,Cleaning,HomeCore,37.52,26.73,2023-07-08,Low
238,HomeCore Cleaning Item 238,Household,Cleaning,HomeCore,28.25,13.79,2024-08-03,Medium
239,Spark Cleaning Item 239,Household,Cleaning,Spark,25.23,15.71,2024-10-19,Medium
240,HomeCore Cleaning Item 240,Household,Cleaning,HomeCore,7.09,4.79,2021-07-08,Medium
241,CleanNest Cleaning Item 241,Household,Cleaning,CleanNest,35.51,21.46,2022-05-03,High
242,Spark Cleaning Item 242,Household,Cleaning,Spark,38.91,21.67,2022-01-18,Medium
243,CleanNest Cleaning Item 243,Household,Cleaning,CleanNest,37.5,24.45,2024-01-21,Medium
244,Spark Cleaning Item 244,Household,Cleaning,Spark,12.69,8.5,2024-07-24,Medium
245,HomeCore Cleaning Item 245,Household,Cleaning,HomeCore,11.56,6.23,2023-09-13,Low
246,HomeCore Cleaning Item 246,Household,Cleaning,HomeCore,31.03,16.97,2023-05-24,Low
247,CleanNest Cleaning Item 247,Household,Cleaning,CleanNest,30.72,16.72,2022-12-05,Low
248,PureFlow Cleaning Item 248,Household,Cleaning,PureFlow,12.28,6.44,2023-10-07,Medium
249,PureFlow Cleaning Item 249,Household,Cleaning,PureFlow,39.11,27.1,2023-07-01,Medium
250,HomeCore Cleaning Item 250,Household,Cleaning,HomeCore,9.46,5.1,2024-10-02,Low
251,CleanNest Cleaning Item 251,Household,Cleaning,CleanNest,20.14,13.87,2021-05-12,Medium
252,HomeCore Cleaning Item 252,Household,Cleaning,HomeCore,8.1,4.29,2022-08-09,High
253,PureFlow Cleaning Item 253,Household,Cleaning,PureFlow,38.72,20.98,2021-03-23,Medium
254,PureFlow Cleaning Item 254,Household,Cleaning,PureFlow,28.34,15.65,2021-01-08,Medium
255,CleanNest Cleaning Item 255,Household,Cleaning,CleanNest,28.24,15.8,2022-02-17,Low
256,HomeCore Cleaning Item 256,Household,Cleaning,HomeCore,37.98,24.81,2021-04-17,Medium
257,PureFlow Cleaning Item 257,Household,Cleaning,PureFlow,10.23,6.71,2022-05-21,Medium
258,Spark Cleaning Item 258,Household,Cleaning,Spark,8.46,5.92,2024-11-16,Medium
259,Spark Cleaning Item 259,Household,Cleaning,Spark,28.86,20.69,2022-12-18,Low
260,HomeCore Cleaning Item 260,Household,Cleaning,HomeCore,17.13,10.24,2024-11-10,High
261,HomeCore Cleaning Item 261,Household,Cleaning,HomeCore,14.38,9.14,2023-04-28,High
262,Spark Cleaning Item 262,Household,Cleaning,Spark,37.22,17.9,2023-07-30,Medium
263,CleanNest Cleaning Item 263,Household,Cleaning,CleanNest,25.25,13.82,2021-02-20,Medium
264,PureFlow Cleaning Item 264,Household,Cleaning,PureFlow,33.08,19.37,2023-02-11,Low
265,Spark Cleaning Item 265,Household,Cleaning,Spark,14.26,9.99,2022-03-21,High
266,CleanNest Cleaning Item 266,Household,Cleaning,CleanNest,21.01,10.27,2022-02-15,Low
267,HomeCore Cleaning Item 267,Household,Cleaning,HomeCore,29.06,15.27,2024-11-08,Medium
268,PureFlow Cleaning Item 268,Household,Cleaning,PureFlow,29.56,16.48,2021-02-21,Low
269,CleanNest Cleaning Item 269,Household,Cleaning,CleanNest,26.99,15.24,2021-12-23,High
270,CleanNest Cleaning Item 270,Household,Cleaning,CleanNest,21.89,11.85,2024-10-15,Low
271,Spark Paper Goods Item 271,Household,Paper Goods,Spark,6.58,3.62,2021-05-26,Medium
272,Spark Paper Goods Item 272,Household,Paper Goods,Spark,19.63,11.33,2021-04-12,Medium
273,PureFlow Paper Goods Item 273,Household,Paper Goods,PureFlow,12.74,7.01,2022-07-16,Low
274,Spark Paper Goods Item 274,Household,Paper Goods,Spark,28.19,13.75,2021-10-28,Medium
275,CleanNest Paper Goods Item 275,Household,Paper Goods,CleanNest,21.3,13.22,2023-05-30,Medium
